date,lender,amount,borrower,industry,structure,description,location
2/8/2024,First Citizens Bank [Lender],$37.0 MM,Rethink Healthcare Real Estate,Real Estate,Refinance Facility,"To refinance Grandview Physicians Plaza I, a medical office building located in Birmingham, Alabama.",AL
2/8/2024,"BlackRock [Lender]
Israel Discount Bank of New York [Lender]
Valley Bank [Lender]
UBS O'Connor [Lender]
JPMorgan Chase Bank [Lender]",$280.0 MM,Pagaya Technologies,Technology,$255MM Term Loan; $25MM Revolver,"The facility, which consists of a $255 million term loan and a $25 million revolver, provides the capital and liquidity needed to support the Company’s future growth, extends its corporate debt maturity to 2029 and validates investors' confidence in Pagaya's business model and financial strength. Proceeds from the facility will be used to pay off outstanding borrowings from the Company's previous facility, invest in product innovation, and grow its network with both existing and new lending and investor partners.",NY
2/8/2024,Manulife Investment Management [Lender],$47.5 MM,Spearmint Energy,Battery Storage,Project Finance Term Loan,"The term loan will support the commercial operation of Revolution, Spearmint’s 150 MW, 300 MWh battery energy storage system (“BESS”) project located in West Texas’ ERCOT power market.",FL
2/9/2024,"Toronto Dominion Bank [Sole Arranger, Sole Bookrunner, Administrative Agent]",$510.0 MM,Timbercreek Financial Corp.,Lender Finance,Revolving Credit Facility,"A third amended and restated credit agreement with a syndicate of 9 lenders for revolving credit facilities in an aggregate amount of $510 million (which includes a $20 million swingline facility). Under the New Credit Agreement, Timbercreek Financial is permitted to borrow up to $510 million on a revolving basis, subject to its borrowing base as set out in the New Credit Agreement. The commitments of the lenders under the revolving credit facility may be increased by $100 million by way of an accordion feature, subject to satisfaction of certain conditions set forth in the New Credit Agreement. The term of the New Credit Agreement is two years, maturing on February 8, 2026. The Toronto-Dominion Bank will continue to act as sole lead arranger, sole book-runner and administration agent under the New Credit Agreement. Proceeds from the revolving credit facilities under the New Credit Agreement will be used for general corporate purposes and may be utilized to fund net mortgage investments or future acquisitions. The $100 million accordion feature is expected to provide Timbercreek Financial with additional flexibility to access funding in the future for other corporate activities without the carrying cost of paying standby commitment fees.",
2/12/2024,Mirate Equity LLC [Bridge Lender],$21.3 MM,Golden Construction LLC,Real Estate,Bridge Loan,Facility for the development of luxury apartments across the United States.,
2/12/2024,Republic Business Credit [Factor],$4.0 MM,Undisclosed,Apparel,Factoring Facility,"A larger factoring facility and more customer credit support than its previous factor, ahead of an oversold spring season.",
2/12/2024,"Bank of America [Administrative Agent]
Bank of America Securities [Joint Lead Arranger, Joint Bookrunner]
Wells Fargo Securities [Joint Lead Arranger, Joint Bookrunner]
PNC Capital Markets [Joint Lead Arranger, Joint Bookrunner]
TD Securities [Joint Lead Arranger, Joint Bookrunner]
Fifth Third Bank [Co-Documentation Agent]
BMO Bank [Co-Documentation Agent]
The Bank of Nova Scotia [Co-Documentation Agent]
Citizens Bank [Co-Documentation Agent]
Barclays Bank [Co-Managing Agent]
Citibank [Co-Managing Agent]
JPMorgan Chase Bank [Co-Managing Agent]",$600.0 MM, ,Business Services,$600MM Credit Facilities Upsize,"Industry
            

                Business Services",
2/12/2024,Trinity Capital [Lender],$20.0 MM,Formlogic,Manufacturing,Equipment Finance Facility,Transaction details not disclosed.,PA
2/13/2024,Wintrust Bank [Lead Lender],$30.0 MM,Potbelly,Restaurant,Revolving Credit Facility,"Under the terms of the new Facility, the Company achieved a 600-basis point reduction in the currently applicable interest rate margin relative to the prior term loan. The Facility currently bears an interest rate of SOFR + 325 basis points (as compared to an interest rate of SOFR + 925 basis points under the Company’s prior term loan) with the potential applicable interest rate ranging from SOFR + 375 basis points to SOFR + 275 basis points dependent upon certain leverage ratios achieved by the Company. The new Facility is expected to result in approximately $2 million of annual net cash interest savings.",IL
2/13/2024,Citizens Bank [Lead Lender],$377.5 MM,Arlington Capital Partners,Investment Financing,Senior Credit Facility,"Proceeds from the credit facility were used to acquire Merrill, which was combined with existing Arlington portfolio company Pegasus Steel and recently acquired Metal Trades, LLC to form Keel. Keel is a manufacturer of complex structures for high priority programs within the Navy, Army and Air Force.",DC
2/13/2024,EBSC Lending [Lender],$25.0 MM,Metro Capital,Real Estate,Senior Credit Facility,The first advance is secured by investment condo properties. The underlying mortgage loan borrower purchased the properties for investment purposes.,
2/13/2024,Gateway Trade Funding [Purchase Order Finance Lender],$2.8 MM,Undisclosed - Canadian Distributor,Technology,Purchase Order Finance Facility,Facility to allow company to purchase needed merchandise.,
2/13/2024,iCapital Options [Lender],$12.3 MM,Undisclosed,Real Estate,Loan Facility,"This funding is designated for the acquisition and rejuvenation of a multifamily development situated in Raleigh, North Carolina. The $12,300,000 million bridge loan, structured as an interest-only arrangement, spans a three-year term, supplemented by two optional six-month extensions. This strategic framework empowers the borrower to execute the acquisition and renovation plans seamlessly. Concurrently, iCapital is committed to facilitating the transition to a favorable, fixed-rate permanent loan.",NC
2/13/2024,Sallyport Commercial Finance [Lender],$0.5 MM,Undislosed - Organic Soap Manufacturer,Manufacturing,Accounts Receivable Financing,Transaction details not disclosed.,
2/13/2024,East West Bank [Lender],$7.5 MM,Cineverse Corporation,Technology,Credit Facility Expansion,Facility to strengthen balance sheet with no need for equity dilution.,CA
2/14/2024,Huntington Business Credit [Lender],$13.0 MM,C&K Industrial Services,Waste,Credit Facilities,Proceeds of the facility were used to refinance existing debt and provide ongoing working capital financing.,OH
2/14/2024,Gordon Brothers [Lessor],$5.0 MM,Undisclosed - Aerospace & Defense Solutions Provider,Aerospace,Operating Lease,"Company will use the equipment in support of its precision manufacturing, fabrication and assembly services for the aerospace, defense and power generation industries.",OH
2/14/2024,Clarus Capital [Lessor],$55.0 MM,Undisclosed,Business Services,Lease Facility,"Financing proceeds supported strategic growth initiatives, liquidity planning, and M&A. Clarus funded $40 million of the facility for its own account and placed the remaining exposure to expand the facility, including assets in service throughout the company’s Canada footprint.",
2/14/2024,Silicon Valley Bank [Lender],$37.0 MM,Float,FinTech,Credit Facility,Transaction details not disclosed.,
2/15/2024,MidCap Financial [Lender],$35.0 MM,"Arc International North American Holdings, Inc.",Manufacturing,Senior Revolving Credit Facility,Proceeds from the credit facility were used to refinance the Company’s existing revolving credit facility and will support Arc’s ongoing working capital needs.,
2/15/2024,"Rosenthal & Rosenthal, Inc. [Factor, Purchase Order Finance Lender]",$5.0 MM,Undisclosed - Canadian-based Cellular Equipment Distributor,Distribution,$3MM Recourse Factoring Facility; $2MM Purchase Order Finance Facility,$3 million recourse factoring facility combined with a $2 million purchase order financing facility allowed the company to pursue its international growth plans.,
2/15/2024,SLR Digital Finance [Lender],$2.0 MM,Undisclosed - Mobile Media & Ad Tech Company,Technology,Asset-Based Revolving Credit Facility,"A $2,000,000 asset-based revolving credit facility which incorporates tiered pricing to match and refinance an SBA loan and allows for additional growth under the revolving line of credit.",NY
2/15/2024,KKR [Arranger],$2.3 MM,MB2 Dental,Healthcare,Unitranche Debt Facility,"A US$2.344bn unitranche debt facility with credit vehicles and accounts managed by KKR, which acted as Lead Investor and Arranger on the transaction. The financing will be used to fund upcoming acquisitions and future growth for the company",TX
2/16/2024,Northleaf Capital Partners [Sole Lead Arranger],$75.0 MM,Duetti,Investment Financing,Asset-backed Senior Secured Credit Facility,"Ffinancing will support Duetti’s catalogue acquisition strategy, enabling the platform to unlock growing monetization opportunities for artists in the independent music market.",
2/19/2024,"Rosenthal & Rosenthal, Inc. [Purchase Order Finance Lender]",$2.0 B,Undisclosed - NJ-based Logistics Company,Logistics,Purchase Order Finance Facility,A $2 million facility that enabled the company to secure the orders and meet the customer delivery dates.,NJ
2/19/2024,Sygnum Bank [Lender],$9.0 MM,DMG Blockchain Solutions,Cryptocurrency,Credit Facility,"To increase its operational capacity ahead of the upcoming Bitcoin halvening expected in April 2024. With a first financing tranche of US$5.6 million already disbursed, DMG has been able to fulfill part of its payment obligation to Bitmain without the need to liquidate its bitcoin holding. The loan is interest bearing at an annual rate of 7.8% for an indefinite term. Sygnum has the right to terminate the agreement at any time, at which time the loan would be due immediately. The loan is secured against the Company’s digital currency assets of 237.8 BTC, which are pledged and deposited with Sygnum. Because the collateral is subject to fluctuations in value, the Company may be required to provide additional collateral in order to restore the security margin on the loan. DMG may repay the amount of debt outstanding at any time.",
